stend,CODEREG,codeOktmo,Funccode,ORGTYPEBASIC
NT,71,01000000,1,UL
NT,71,01000000,2,UL
NT,71,01000000,7,OGV
NT,71,01000000,8,OGV
NT,71,01000000,10,OGV
NT,71,01000000,11,IP
NT,71,01000000,11,UL
NT,71,01000000,11,OGV
NT,71,01000000,19,UL
NT,71,01000000,20,UL
NT,71,01000000,21,UL
NT,71,01000000,22,UL
NT,71,01000000,23,IP
NT,71,01000000,23,UL
NT,71,01000000,23,OGV
NT,71,01000000,24,IP
NT,71,01000000,24,UL
NT,71,01000000,25,IP
NT,71,01000000,25,UL
NT,71,01000000,26,UL
NT,71,01000000,27,IP
NT,71,01000000,27,UL
NT,71,01000000,27,OGV
